record_id,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
53,0.5285679,-0.8089929,1.9713602,3.1536846,-0.9039203,2.2558243,-0.6702982,-2.8253691,3.0412297,0.06102015,-0.681895,0.32881042,0.06852113,-2.3920753,-0.2740752,1.3984926,-1.9104823,-0.6192112,0.4995121,1.792314,-2.425083,0.3433393,-2.0352147,1.0212748,-0.8188453,-1.339297,-1.530696,0.2310732,0.9650021,1.5334746,1.6740904,-2.6760027
48,2.1040506,-0.8262787,1.9053817,1.294485,-1.9877203,0.11872022,0.08958101,-0.586327,0.25004697,0.025215112,1.7290843,1.2744496,-0.77553785,0.68304163,0.044635057,-0.18766081,1.1223903,-0.35946062,1.4696878,1.6442492,-0.8963746,-0.46905342,-1.2801912,0.5783852,0.65586364,-1.4690006,-0.85606,0.5490263,-1.4590944,-0.9332064,-2.153342,-0.01291658
52,-0.3118363,0.14081004,2.269218,4.603973,-3.2782476,-1.5845618,-0.45128775,0.71216345,1.2456064,-0.16032465,0.8195531,-0.6118257,2.275541,-1.1133755,-0.22963417,1.0482329,1.1388313,-0.86031604,1.7315015,-0.9982375,3.0158665,-1.465856,-0.22358498,2.879768,-0.85537004,0.61107266,-2.2140067,-1.8542958,0.4237961,-1.3027054,-1.2512486,-0.6467426
49,0.14883265,-3.1714275,1.2388996,3.3589787,-0.84588325,0.18940309,1.543905,-1.2596943,1.1146493,2.708769,1.1974515,-0.332657,-0.9014959,-0.027006105,-1.1726466,0.37792343,-1.1429223,-1.0214919,-2.0536637,0.4574874,-0.2954353,-0.26203248,-2.7524424,-0.14856717,-1.5178574,-0.6461358,1.1620504,-0.12674104,-0.9523663,1.5826484,-0.7893896,-2.4662604
57,-0.04673861,-0.46708405,3.4640052,4.967076,-0.711203,3.6951807,-0.28202865,-0.7244787,0.7362639,-0.7301524,-1.8889598,0.930673,-0.97163063,-1.6555147,-0.6474527,0.68062013,-0.5433563,-1.1735466,-2.3371286,1.8395913,1.1139556,0.13000327,1.2252808,1.5120711,-1.694821,-1.7844999,-3.0003624,-0.7408663,2.105932,4.140952,1.7266479,-3.683037
58,0.49943048,0.527344,2.0036135,4.6661234,-3.9181087,1.5769551,-1.0257864,-2.047935,4.4598784,-1.0585959,-1.1154312,0.08429095,2.2502706,-3.0861573,-1.1304343,3.1464534,-2.4666345,0.71212935,-1.4124495,2.4106982,-1.854241,-1.1378181,-1.0282645,2.1262789,-0.66656935,-0.19343151,-2.4562566,0.71082723,1.3537663,1.5195233,-1.1318347,-1.7351289
55,2.4643185,-0.7263797,2.0506897,3.8268661,-2.7517867,0.70045984,0.6998015,-1.5153617,1.422693,-0.5892594,0.57495195,2.5101268,-0.91780406,-1.3278904,-1.2823169,0.5035008,-1.363815,0.5665382,-2.13124,1.5603976,-0.70837355,1.5031105,-1.5061398,-0.7277523,-0.19157791,-1.7347165,-0.49328148,0.6202038,-0.5473538,1.8383138,-1.282487,-1.2941413
54,0.43513975,-0.6495914,1.3559396,-0.93597543,-2.044967,2.6286807,-0.5479754,-0.19624057,-0.43645972,0.5729057,-0.8022957,-0.9371291,0.30377036,0.83158535,-0.6216835,-0.6711518,-0.5712741,-0.7777016,-0.3887234,1.0482442,0.38719812,-0.41139123,0.88267267,0.76794136,0.49100015,-0.4916465,-0.62956923,-0.29310006,0.29504448,1.6326298,-1.8490765,-2.6403642
59,-0.10896112,-0.49013942,2.764147,4.762581,-1.438139,2.179648,-0.0229837,-1.3921133,1.7594026,-1.8811374,-0.18212946,0.45954734,-0.89345235,-0.5956549,-1.1762761,2.614983,-0.4876843,-0.5393554,-1.3497,1.597786,-1.1497587,-0.4712135,-0.6503276,2.9541209,-0.9256525,-2.3144314,-3.4048555,1.4061558,1.6348763,2.5499475,0.5544641,-3.2284715
56,2.0737488,-1.5974929,1.3498371,2.4656663,-3.0000591,0.7847407,0.69540125,-1.4564372,0.94884336,0.6567675,0.5883013,1.6073233,-1.0653208,-0.44071406,-1.4530674,-0.040915046,-1.2512203,0.16244245,-1.8085318,0.9921122,-0.42081094,0.89000624,-1.8163638,-0.6742648,-0.073424906,-0.84730697,0.44368786,-0.12341477,-0.94403964,2.2075317,-2.2564678,-1.9034889
60,0.84525716,1.3684696,1.8099861,3.2845418,-1.136098,1.3979018,0.8202109,0.09990664,0.11092648,-3.3560774,-1.3957378,1.9569442,0.81628186,-2.9972973,0.7376586,0.59673804,-1.6662668,0.878762,-2.4857752,-0.39353022,1.2382307,3.3683686,0.36710563,-2.039175,0.626716,-1.8391289,-1.6363031,0.46795067,1.1991402,1.0397483,2.1041877,-3.2685416
